order_id,customer_id,order_date,product_category,quantity,unit_price,gross_revenue,discount_pct,discount_amount,net_revenue,shipping_cost,promo_code,marketing_channel,ad_spend,device_type,payment_method,order_status,is_first_order,session_duration_sec,pages_viewed
9894713,22363,2023-12-23,Beauty,1,28.17,28.17,0,0.0,28.17,0,,Social Media,13.59,Mobile,Debit Card,Returned,1,490,10
8470161,39451,2023-07-05,Apparel,1,169.66,169.66,5,8.48,161.18,4.99,WELCOME20,Organic Search,0.0,Mobile,PayPal,Processing,0,2033,20
8684083,77839,2024-11-08,Apparel,1,81.24,81.24,20,16.25,64.99,12.99,SAVE10,Social Media,10.28,Desktop,Credit Card,Processing,0,1097,2
6101655,60432,2023-09-22,Sports,3,132.15,396.45,0,0.0,396.45,4.99,,Direct,0.0,Desktop,PayPal,Delivered,0,2542,20
3213824,36071,2021-09-22,Beauty,2,10.23,20.46,15,3.07,17.39,0,,Social Media,16.37,Desktop,Apple Pay,Delivered,0,842,6
6142132,42742,2023-03-22,Books,3,17.61,52.83,20,10.57,42.26,4.99,SUMMER25,Organic Search,0.0,Desktop,Credit Card,Delivered,0,2186,4
3881270,98259,2023-03-26,Toys,1,17.19,17.19,0,0.0,17.19,7.99,SUMMER25,Direct,0.0,Mobile,Debit Card,Shipped,0,567,24
5362201,60019,2021-06-23,Electronics,2,629.69,1259.38,10,125.94,1133.44,0,,Social Media,19.82,Desktop,Credit Card,Delivered,0,1308,11
4804769,12757,2023-11-16,Sports,1,119.71,119.71,0,0.0,119.71,19.99,,Organic Search,0.0,Mobile,Credit Card,Shipped,0,2009,10
9124251,83792,2023-12-29,Home & Garden,5,162.23,811.15,10,81.11,730.04,19.99,,Social Media,0.62,Desktop,PayPal,Delivered,0,1982,19
7239485,91070,2024-08-09,Apparel,2,46.22,92.44,0,0.0,92.44,7.99,SUMMER25,Paid Search,3.53,Desktop,PayPal,Processing,0,2350,8
5834292,10851,2023-10-08,Apparel,1,86.13,86.13,0,0.0,86.13,4.99,,Paid Search,5.23,Desktop,Google Pay,Processing,0,1312,21
1793880,86484,2022-10-22,Home & Garden,2,200.95,401.9,10,40.19,361.71,7.99,WELCOME20,Organic Search,0.0,Mobile,Credit Card,Delivered,1,527,6
3488704,18675,2023-06-16,Books,3,11.25,33.75,5,1.69,32.06,7.99,,Email,0.0,Mobile,Debit Card,Shipped,1,511,14
6924385,94012,2024-10-17,Apparel,3,88.73,266.19,10,26.62,239.57,0,LOYALTY5,Social Media,17.86,Mobile,Credit Card,Returned,0,892,11
5771138,96951,2021-10-05,Electronics,1,872.06,872.06,0,0.0,872.06,0,,Paid Search,4.69,Mobile,Buy Now Pay Later,Delivered,0,1385,4
8649177,30926,2024-07-03,Home & Garden,1,75.23,75.23,10,7.52,67.71,0,SAVE10,Direct,0.0,Tablet,Credit Card,Shipped,0,1282,12
3791109,17455,2023-04-06,Food & Grocery,2,54.01,108.02,0,0.0,108.02,7.99,WELCOME20,Paid Search,2.56,Desktop,Credit Card,Shipped,0,2455,20
3697606,79352,2024-06-15,Sports,1,176.22,176.22,15,26.43,149.79,19.99,WELCOME20,Organic Search,0.0,Tablet,Debit Card,Processing,0,1354,3
9981123,38893,2021-10-08,Home & Garden,2,184.28,368.56,0,0.0,368.56,4.99,WELCOME20,Direct,0.0,Mobile,PayPal,Processing,0,2168,11
5785643,34050,2021-06-10,Books,4,51.32,205.28,20,41.06,164.22,12.99,FLASH15,Email,0.0,Desktop,PayPal,Returned,0,2315,14
4058159,87924,2022-12-15,Apparel,3,218.14,654.42,15,98.16,556.26,4.99,,Referral,0.0,Mobile,PayPal,Delivered,0,763,24
3942041,39256,2022-02-06,Home & Garden,1,217.51,217.51,0,0.0,217.51,0,,Organic Search,0.0,Desktop,PayPal,Returned,1,1156,21
3575047,63354,2023-03-27,Electronics,1,849.52,849.52,10,84.95,764.57,19.99,SAVE10,Referral,0.0,Desktop,Google Pay,Processing,0,1969,24
3705405,42271,2024-01-23,Toys,1,16.49,16.49,20,3.3,13.19,0,FLASH15,Email,0.0,Desktop,Credit Card,Delivered,1,2641,23
4991389,30926,2022-10-06,Electronics,5,675.24,3376.2,0,0.0,3376.2,7.99,SAVE10,Affiliate,0.0,Mobile,Debit Card,Delivered,0,2433,24
